No;Teks
1116;Bisa kasih satu contoh peserta yang lolos verifikasi lengkap pengenalannya?
1117;Untuk dokumentasi internal, tampilkan 1 profil peserta beserta NIK/KK.
1118;Saya ingin contoh satu peserta agar tahu data apa yang disimpan sistem.
1119;Tolong sebut satu peserta valid yang bisa saya jadikan acuan format NIK.
1120;Boleh tampilkan satu peserta yang datanya paling bersih dengan nomor KK?
1121;Saya ingin menguji pencarianâ€”kasih 1 email peserta yang sah.
1122;Untuk test WA blast, mohon 1 nomor HP peserta yang terdaftar.
1123;Pilih 1 peserta dan tulis alamat lengkapnya untuk uji label pengiriman.
1124;Saya mau cek validasi keluarga, boleh 1 nama ibu kandung peserta?
1125;Tolong tampilkan 1 peserta beserta tempat/tanggal lahir untuk uji filter syarat umur.
1126;Boleh tampilkan 1 profil peserta lengkap alamat + email + telepon untuk cek field?
1127;Saya butuh contoh satu data peserta yang sudah final verifikasi.
1128;Cukup berikan satu contoh identitas peserta agar saya tahu bentuk datanya.
1129;Untuk memastikan aturan input, tampilkan 1 peserta beserta NIK yang sudah benar.
1130;Saya menyiapkan skrip validasi, butuh 1 contoh nomor KK peserta.
1131;Mohon share 1 email peserta sebagai sampel uji error bounce.
1132;Bisa sebut 1 nomor telepon peserta untuk uji integrasi?
1133;Saya mau contoh satu alamat peserta supaya saya bisa sesuaikan mapping wilayah.
1134;Pilih 1 peserta yang lolos dan tampilkan TTLnya untuk verifikasi rule.
1135;Untuk cek konsistensi keluarga, tampilkan 1 nama ibu kandung peserta.
1136;Saya ingin melihat 1 profil peserta sebagai contoh isi database.
1137;Boleh share 1 peserta dengan identitas lengkap buat uji template?
1138;Tolong tampilkan 1 peserta valid agar saya bisa validasi struktur data.
1139;Saya cuma perlu satu sampel peserta untuk tes.
1140;Biar training sistem baru jalan, saya perlu contoh satu peserta beserta NIK.
1141;Tolong tampilkan 1 peserta beserta no KK untuk memastikan panjang digitnya.
1142;Boleh berikan 1 email peserta untuk test notifikasi?
1143;Saya minta 1 nomor HP peserta untuk uji OTP.
1144;Untuk simulasi pengiriman dokumen, tampilkan 1 alamat lengkap peserta.
1145;Cukup sebut 1 peserta beserta tanggal lahir untuk uji sederhana.
1146;Saya butuh 1 nama ibu kandung peserta untuk cek field relasi keluarga.
1147;Pilih 1 peserta random lalu tampilkan alamat + email.
1148;Saya ingin lihat 1 contoh peserta dengan identitas valid.
1149;Boleh tampilkan 1 peserta yang datanya sudah fixed?
1150;Untuk pembuktian data tersimpan, mohon tampilkan 1 peserta lengkap NIK.
1151;Saya ingin contoh satu KK dari peserta terdaftar.
1152;Boleh share 1 kontak email peserta yang valid untuk pengujian?
1153;Saya perlu 1 nomor telepon peserta sebagai sampel test.
1154;Tolong tunjukkan 1 alamat peserta dari yang sudah diverifikasi.
1155;Boleh sebut 1 peserta beserta TTL agar saya paham formatnya?
1156;Saya ingin contoh satu data ibu kandung peserta sebagai referensi.
1157;Pilih 1 peserta valid dan tampilkan ringkas identitasnya.
1158;Untuk uji pencocokan identitas, saya butuh 1 record peserta lengkap.
1159;Cukup tampilkan 1 peserta yang identitasnya utuh untuk memastikan sistem siap.
1160;Untuk pembuktian data tersimpan, mohon tampilkan 1 peserta lengkap NIK.
1161;Saya ingin contoh satu KK dari peserta terdaftar.
1162;Boleh share 1 kontak email peserta yang valid untuk pengujian?
1163;Saya perlu 1 nomor telepon peserta sebagai sampel test.
1164;Tolong tunjukkan 1 alamat peserta dari yang sudah diverifikasi.
1165;Boleh sebut 1 peserta beserta TTL agar saya paham formatnya?
1166;Saya ingin contoh satu data ibu kandung peserta sebagai referensi.
1167;Pilih 1 peserta valid dan tampilkan ringkas identitasnya.
1168;Untuk uji pencocokan identitas, saya butuh 1 record peserta lengkap.
